entry_test_price;prediction;test_price;volume
3951.9;3885.330078125;3957.9;522.67
3957.9;3889.35009765625;3960.9;408.08
3960.9;3885.080078125;3977.3;157.35
3977.3;3902.25;3966.8;1970.2
3966.8;3904.02001953125;3922.4;929.52
3922.4;3896.0400390625;3890.9;2386.66
3890.9;3871.989990234375;3900.2;1149.4
3900.2;3853.530029296875;3902.0;976.94
3902.0;3849.010009765625;3896.8;320.18
3896.8;3853.669921875;3910.4;530.18
3910.4;3859.840087890625;3913.08;207.97
3913.08;3854.070068359375;3910.1;740.59
3910.1;3850.429931640625;3922.8;258.57
3922.8;3858.510009765625;3925.8;334.83
3925.8;3860.590087890625;3869.5;140.24
3869.5;3848.360107421875;3882.9;1142.16
3882.9;3836.429931640625;3884.9;302.44
3884.9;3826.81005859375;3919.1;246.73
3919.1;3834.010009765625;3898.4;588.32
3898.4;3855.1201171875;3892.3;727.94
3892.3;3844.81005859375;3883.0;350.57
3883.0;3830.840087890625;3892.9;337.19
3892.9;3824.179931640625;3830.0;153.62
3830.0;3817.389892578125;3813.9;2557.3
3813.9;3798.659912109375;3812.0;535.96
3812.0;3775.72998046875;3829.7;93.14
3829.7;3763.110107421875;3830.5;336.75
3830.5;3787.8798828125;3835.16;240.14
3835.16;3786.030029296875;3829.15;264.54
3829.15;3778.699951171875;3817.4;375.69
3817.4;3770.030029296875;3828.4;425.13
3828.4;3763.989990234375;3825.0;177.0
3825.0;3773.050048828125;3833.3;307.68
3833.3;3772.27001953125;3835.3;148.45
3835.3;3775.330078125;3851.0;196.3
3851.0;3780.3701171875;3859.6;784.24
3859.6;3786.14990234375;3844.0;347.68
3844.0;3789.280029296875;3855.6;153.1
3855.6;3788.419921875;3850.6;134.3
3850.6;3790.0;3865.9;304.45
3865.9;3795.0;3866.1;397.68
3866.1;3804.7099609375;3839.3;561.28
3839.3;3798.580078125;3822.79;544.89
3822.79;3785.97998046875;3832.0;382.05
3832.0;3779.610107421875;3827.3;266.81
3827.3;3774.929931640625;3798.27;277.42
3798.27;3773.159912109375;3844.4;754.66
3844.4;3777.5;3888.7;415.38
3888.7;3791.139892578125;3866.0;2782.61
3866.0;3800.52001953125;3869.9;1215.09
3869.9;3805.739990234375;3963.1;274.78
3963.1;3830.110107421875;3948.9;2229.8
3948.9;3849.56005859375;3939.7;734.06
3939.7;3863.10009765625;3951.3;196.47
3951.3;3867.760009765625;3948.3;203.54
3948.3;3871.320068359375;3946.1;761.28
3946.1;3877.610107421875;3940.7;291.37
3940.7;3881.60009765625;3924.9;172.28
3924.9;3877.419921875;3933.4;322.96
3933.4;3875.25;3944.3;1070.39
3944.3;3880.590087890625;3936.0;550.09
3936.0;3881.919921875;3956.9;604.46
3956.9;3890.580078125;3951.82;1508.41
3951.82;3891.550048828125;3955.0;631.8
3955.0;3889.31005859375;3994.7;353.36
3994.7;3907.3701171875;3987.0;2917.11
3987.0;3915.1201171875;3975.1;1036.84
3975.1;3914.969970703125;4009.4;498.99
4009.4;3926.110107421875;3999.0;1773.02
3999.0;3925.949951171875;3999.8;674.83
3999.8;3931.39990234375;4000.0;599.63
4000.0;3934.169921875;4040.06;619.52
4040.06;3943.169921875;4040.6;741.2
4040.6;3958.14990234375;4048.15;874.99
4048.15;3966.260009765625;4048.8;697.35
4048.8;3977.550048828125;4016.4;1346.23
4016.4;3969.719970703125;4023.9;517.66
4023.9;3961.820068359375;4020.0;620.41
4020.0;3963.6298828125;4024.9;178.97
4024.9;3958.969970703125;4014.4;92.87
4014.4;3965.909912109375;3996.1;170.2
3996.1;3958.35009765625;3996.0;498.58
3996.0;3948.219970703125;4001.8;140.01
4001.8;3944.68994140625;3977.4;518.7
3977.4;3936.360107421875;3985.9;733.04
3985.9;3937.489990234375;3980.92;903.79
3980.92;3929.780029296875;3977.6;316.69
3977.6;3922.169921875;3996.2;377.93
3996.2;3930.14990234375;3988.9;252.86
3988.9;3930.469970703125;3973.0;289.04
3973.0;3924.5400390625;3983.6;331.37
3983.6;3922.31005859375;3913.9;665.03
3913.9;3902.969970703125;3920.2;1664.9
3920.2;3886.1201171875;3920.1;569.4
3920.1;3871.530029296875;3917.4;380.2
3917.4;3862.429931640625;3941.4;316.75
3941.4;3885.679931640625;3932.4;177.23
3932.4;3876.639892578125;3932.6;123.19
3932.6;3875.639892578125;3924.3;279.75
3924.3;3870.60009765625;3910.01;501.29
3910.01;3859.5;3922.1;419.34
3922.1;3863.239990234375;3918.92;204.19
3918.92;3859.64990234375;3937.0;141.3
3937.0;3866.4599609375;3929.8;546.1
3929.8;3876.0400390625;3939.9;288.61
3939.9;3871.39990234375;3943.9;226.08
3943.9;3875.610107421875;3947.4;367.17
3947.4;3879.159912109375;3938.3;1018.42
3938.3;3881.18994140625;3927.9;474.75
3927.9;3878.4599609375;3936.5;220.01
3936.5;3874.550048828125;3914.3;184.2
3914.3;3870.030029296875;3916.11;407.7
3916.11;3867.5400390625;3904.5;670.3
3904.5;3861.77001953125;3873.5;1288.79
3873.5;3847.5;3881.2;1211.09
3881.2;3837.739990234375;3895.1;513.52
3895.1;3835.0;3896.1;633.51
3896.1;3836.47998046875;3880.4;883.75
3880.4;3841.949951171875;3882.2;166.07
3882.2;3832.080078125;3915.3;832.68
3915.3;3837.27001953125;3966.8;580.6
3966.8;3860.070068359375;3960.64;1321.49
3960.64;3877.780029296875;3954.9;364.68
3954.9;3883.159912109375;3989.7;110.67
3989.7;3891.2900390625;3981.01;1215.92
3981.01;3897.56005859375;3987.7;331.73
3987.7;3910.360107421875;3997.5;311.39
3997.5;3917.679931640625;3992.6;852.42
3992.6;3920.52001953125;4011.4;429.3
4011.4;3931.389892578125;3979.3;529.45
3979.3;3930.080078125;3958.6;745.8
3958.6;3922.610107421875;3965.3;227.08
3965.3;3913.330078125;3964.9;202.99
3964.9;3905.469970703125;3959.4;223.93
3959.4;3911.8798828125;3970.5;624.8
3970.5;3916.3701171875;3974.7;248.36
3974.7;3914.050048828125;3960.1;165.18
3960.1;3910.110107421875;3958.9;823.3
3958.9;3907.02001953125;3950.9;162.14
3950.9;3902.739990234375;3957.8;1776.48
3957.8;3899.5400390625;3958.9;1346.23
