entry_test_price;prediction;test_price;volume
3903.3;3857.06005859375;3906.0;445.93
3906.0;3888.080078125;3899.7;62.77
3899.7;3909.7900390625;3895.46;78.61
3895.46;3898.7099609375;3898.6;27.94
3898.6;3892.7099609375;3905.0;47.98
3905.0;3889.3701171875;3903.1;64.42
3903.1;3900.35009765625;3902.88;20.79
3902.88;3900.010009765625;3902.0;61.45
3902.0;3898.030029296875;3904.4;35.43
3904.4;3898.4599609375;3906.53;31.13
3906.53;3901.14990234375;3918.0;150.33
3918.0;3909.989990234375;3919.2;323.25
3919.2;3912.919921875;3922.1;289.91
3922.1;3921.580078125;3920.2;327.1
3920.2;3919.9599609375;3912.2;40.39
3912.2;3917.820068359375;3915.0;26.82
3915.0;3918.590087890625;3924.9;26.7
3924.9;3921.280029296875;3928.0;107.73
3928.0;3926.35009765625;3919.09;29.65
3919.09;3927.81005859375;3935.5;43.84
3935.5;3932.360107421875;3942.6;187.44
3942.6;3937.050048828125;3939.0;98.81
3939.0;3939.56005859375;3938.35;40.63
3938.35;3942.0;3939.1;772.46
3939.1;3941.659912109375;3940.4;23.5
3940.4;3942.93994140625;3918.4;72.47
3918.4;3939.7099609375;3917.0;89.33
3917.0;3929.780029296875;3920.2;184.55
3920.2;3922.5;3919.4;25.36
3919.4;3918.760009765625;3922.75;45.48
3922.75;3924.06005859375;3922.86;48.63
3922.86;3922.4599609375;3905.2;6.62
3905.2;3913.780029296875;3907.3;297.72
3907.3;3907.570068359375;3906.9;122.36
3906.9;3902.3798828125;3890.1;74.86
3890.1;3891.3798828125;3892.0;457.25
3892.0;3894.760009765625;3893.85;606.75
3893.85;3888.919921875;3902.8;97.82
3902.8;3886.8701171875;3911.1;50.88
3911.1;3897.0400390625;3911.3;219.36
3911.3;3907.1201171875;3912.6;55.94
3912.6;3902.8798828125;3904.8;102.82
3904.8;3905.409912109375;3903.4;32.38
3903.4;3903.639892578125;3903.4;101.22
3903.4;3904.800048828125;3900.06;85.79
3900.06;3903.659912109375;3906.8;62.78
3906.8;3906.469970703125;3910.0;23.36
3910.0;3910.489990234375;3906.1;29.66
3906.1;3907.949951171875;3910.0;44.0
3910.0;3908.760009765625;3911.7;24.2
3911.7;3909.52001953125;3913.1;12.51
3913.1;3910.93994140625;3920.27;15.47
3920.27;3916.699951171875;3921.3;225.14
3921.3;3920.989990234375;3915.3;9.73
3915.3;3918.68994140625;3913.7;19.34
3913.7;3919.25;3917.1;5.55
3917.1;3918.179931640625;3913.8;14.77
3913.8;3916.3798828125;3914.1;21.3
3914.1;3917.409912109375;3913.8;11.91
3913.8;3916.679931640625;3905.0;22.74
3905.0;3913.5;3912.85;35.01
3912.85;3911.580078125;3912.5;30.07
3912.5;3910.7900390625;3914.1;25.49
3914.1;3911.56005859375;3912.21;70.18
3912.21;3912.820068359375;3910.9;22.87
3910.9;3909.9599609375;3909.4;100.73
3909.4;3910.030029296875;3889.98;30.11
3889.98;3899.969970703125;3893.1;212.26
3893.1;3891.820068359375;3893.05;133.24
3893.05;3894.4599609375;3888.8;43.95
3888.8;3888.239990234375;3890.4;46.48
3890.4;3891.820068359375;3891.5;28.02
3891.5;3888.760009765625;3891.2;61.7
3891.2;3887.10009765625;3883.8;11.33
3883.8;3885.260009765625;3885.0;41.42
3885.0;3881.469970703125;3906.2;244.63
3906.2;3888.159912109375;3904.8;225.46
3904.8;3894.6201171875;3893.4;73.16
3893.4;3893.639892578125;3882.3;69.17
3882.3;3892.889892578125;3844.6;86.32
3844.6;3873.68994140625;3819.2;249.93
3819.2;3848.27001953125;3820.3;421.0
3820.3;3824.6201171875;3815.9;106.72
3815.9;3818.27001953125;3804.5;65.16
3804.5;3813.06005859375;3798.1;435.47
3798.1;3803.330078125;3788.8;164.81
3788.8;3787.580078125;3798.1;308.92
3798.1;3776.3701171875;3789.8;268.04
3789.8;3773.330078125;3798.03;87.71
3798.03;3769.239990234375;3799.4;182.07
3799.4;3779.800048828125;3797.6;97.05
3797.6;3782.75;3813.26;153.95
3813.26;3784.52001953125;3810.4;276.76
3810.4;3799.110107421875;3806.2;373.87
3806.2;3795.10009765625;3802.0;238.25
3802.0;3794.43994140625;3801.85;19.17
3801.85;3796.050048828125;3792.4;152.52
3792.4;3798.0;3790.1;34.79
3790.1;3802.1201171875;3800.3;110.5
3800.3;3797.820068359375;3801.4;104.88
3801.4;3798.110107421875;3794.2;119.14
3794.2;3798.780029296875;3786.9;17.15
3786.9;3794.0400390625;3790.5;39.83
3790.5;3792.929931640625;3803.09;41.09
3803.09;3790.800048828125;3805.4;110.62
3805.4;3796.679931640625;3805.4;97.43
3805.4;3803.419921875;3812.9;160.86
3812.9;3806.719970703125;3823.3;115.43
3823.3;3815.409912109375;3820.1;290.89
3820.1;3816.0400390625;3821.9;113.19
3821.9;3821.080078125;3823.0;61.54
3823.0;3822.090087890625;3833.2;73.5
3833.2;3831.219970703125;3931.0;728.93
3931.0;3876.080078125;3916.8;1836.25
3916.8;3905.489990234375;3922.9;586.91
3922.9;3917.550048828125;3932.0;268.16
3932.0;3936.909912109375;3934.03;1022.18
3934.03;3946.35009765625;3939.39;249.44
3939.39;3965.110107421875;3949.6;111.75
3949.6;3965.330078125;3934.7;109.91
3934.7;3964.93994140625;3937.7;23.94
3937.7;3970.2900390625;3936.8;36.6
3936.8;3970.360107421875;3951.7;62.31
3951.7;3956.760009765625;3933.8;75.13
3933.8;3957.860107421875;3929.0;595.95
3929.0;3943.2099609375;3929.9;30.38
3929.9;3940.889892578125;3917.0;13.04
3917.0;3929.300048828125;3921.4;44.62
3921.4;3925.719970703125;3920.0;116.35
3920.0;3926.739990234375;3936.2;22.58
3936.2;3921.469970703125;3934.6;133.07
3934.6;3929.969970703125;3932.6;98.09
3932.6;3928.830078125;3941.3;31.47
3941.3;3931.169921875;3945.2;105.18
3945.2;3938.800048828125;3954.3;732.02
3954.3;3946.0;3948.1;171.81
3948.1;3950.330078125;3941.3;61.54
3941.3;3945.81005859375;3938.0;133.35
