entry_test_price;prediction;test_price;volume
3832.6;3799.929931640625;3830.5;13.69
3829.1;3803.489990234375;3831.6;16.77
3833.8;3802.3798828125;3823.9;8.8
3836.4;3800.85009765625;3831.7;13.69
3834.1;3801.56005859375;3826.8;5.48
3827.9;3811.39990234375;3825.1;20.53
3832.3;3812.590087890625;3825.8;6.72
3825.2;3809.8701171875;3834.7;19.83
3825.42;3814.239990234375;3834.7;4.05
3824.3;3810.64990234375;3838.1;18.04
3830.5;3791.39990234375;3844.8;15.52
3831.6;3798.97998046875;3842.7;12.89
3823.9;3803.760009765625;3835.16;19.33
3831.7;3800.14990234375;3832.87;7.81
3826.8;3803.02001953125;3832.6;18.15
3825.1;3802.239990234375;3839.0;12.57
3825.8;3799.409912109375;3835.6;2.32
3834.7;3802.719970703125;3832.8;52.04
3834.7;3809.330078125;3836.0;2.59
3838.1;3816.7900390625;3832.8;9.74
3844.8;3789.3701171875;3831.6;54.19
3842.7;3788.139892578125;3830.3;28.23
3835.16;3794.449951171875;3825.7;44.68
3832.87;3794.239990234375;3826.1;22.65
3832.6;3791.409912109375;3829.15;20.78
3839.0;3794.639892578125;3829.5;30.95
3835.6;3791.77001953125;3830.1;18.85
3832.8;3789.760009765625;3829.0;23.91
3836.0;3786.219970703125;3831.3;17.24
3832.8;3787.8798828125;3833.6;31.51
3831.6;3782.489990234375;3824.1;32.93
3830.3;3776.830078125;3820.0;58.1
3825.7;3777.4599609375;3819.5;91.83
3826.1;3776.429931640625;3819.9;12.4
3829.15;3781.6201171875;3814.3;14.54
3829.5;3784.110107421875;3813.5;14.57
3830.1;3784.429931640625;3817.4;16.42
3829.0;3783.2900390625;3820.0;29.78
3831.3;3782.6298828125;3819.87;42.19
3833.6;3779.9599609375;3820.0;20.68
3824.1;3766.5;3831.6;78.44
3820.0;3764.81005859375;3830.08;24.63
3819.5;3763.5;3829.0;26.4
3819.9;3763.419921875;3828.8;38.85
3814.3;3756.340087890625;3827.0;45.65
3813.5;3749.159912109375;3826.3;59.56
3817.4;3751.56005859375;3824.3;27.94
3820.0;3751.419921875;3827.3;20.71
3819.87;3751.02001953125;3828.4;24.59
3820.0;3750.6298828125;3829.8;34.41
3831.6;3744.64990234375;3841.6;43.97
3830.08;3744.679931640625;3836.0;5.8
3829.0;3744.39990234375;3837.4;4.26
3828.8;3745.949951171875;3830.4;26.04
3827.0;3745.659912109375;3830.0;4.72
3826.3;3746.669921875;3829.5;3.82
3824.3;3739.820068359375;3830.0;1.83
3827.3;3739.97998046875;3829.5;3.85
3828.4;3743.0;3830.0;3.0
3829.8;3745.969970703125;3828.32;4.35
3841.6;3753.2900390625;3825.0;31.61
3836.0;3753.610107421875;3825.0;40.02
3837.4;3753.0;3824.95;3.8
3830.4;3749.949951171875;3824.95;46.31
3830.0;3751.469970703125;3825.0;41.59
3829.5;3753.639892578125;3827.8;9.01
3830.0;3757.320068359375;3828.96;9.0
