start;open;high;low;close;volume;annual-hash-rate-growth;block-height;block-interval;block-size;blockchain-size;blocks-daily;chain-value-density;daily-transactions;difficulty;fee-percentage;hash-rate-growth-14d;hash-rate;market-cap;quarterly-hash-rate-growth;metcalfe-utxo;metcalfe-tx;utxo-growth;utxo-set-size;utxo-value;velocity-daily
1364774400;93.03299999999999;105.9;92.49999;103.999;5225.273894259997;350.51599999999996;229012;512;142549;6859382730;169;155512.09;43603;6695826;0.00290289;35.6096;53.493961476388556;1017300557.0;132.52100000000002;3.43;4.58;6745;4086253;248.96;0.14165
1364860800;103.999;118.3867;99.0;118.22935407;8376.527478110009;382.991;229210;425;139736;6887050450;198;170320.85;52743;6695826;0.0029177;37.0672;56.06167162725523;1118667870.0;138.904;3.75;4.09;20039;4106292;272.43;0.134864
1364947200;118.22935407;146.88;101.51088;134.7;12999.775201180002;400.611;229391;475;174997;6918724874;181;186525.46;62692;6695826;0.0023951000000000003;35.0575;57.4881772666256;1230734191.0;145.204;4.1;3.73;27021;4133313;297.76;0.231021
1365033600;134.71656000000002;143.0;119.0;132.899;7022.871741320008;419.028;229566;496;187956;6951617133;175;216183.41;65557;6695826;0.00320047;32.4141;59.53283534972311;1433204943.0;152.55700000000002;4.73;4.13;33151;4166464;343.98;0.219625
1365120000;132.899;145.0;128.25;142.3;5237.795716800001;419.98800000000006;229720;557;217426;6985100736;154;231394.71;65667;6695826;0.00305685;25.6991;58.20143008631078;1541438460.0;150.507;5.05;4.43;27089;4193553;367.57;0.20878200000000002
1365206400;142.3;144.0;139.0;143.05;2034.0203911499993;432.88599999999997;229878;545;189161;7014988159;158;231412.16;60974;7673000;0.00288239;21.2841;58.53704738098658;1548150621.0;152.642;5.04;4.83;25020;4218573;366.99;0.179098
1365292800;143.05;164.75;142.75;162.304;3725.0676449599987;463.13199999999995;230041;528;159379;7040966944;163;231921.66;51897;7673000;0.0029229;19.0753;59.19266264854723;1557305099.0;160.467;5.02;5.79;31588;4250161;366.41;0.12144200000000001
1365379200;162.304;194.57;162.304;186.985;10898.35335263;466.715;230205;525;205222;7074623302;164;257410.4;63379;7673000;0.00497921;16.68;60.092968225005094;1736718776.25;161.989;5.56;5.19;27856;4278017;405.97;0.09842530000000001
1365465600;186.985;249.97;186.8;232.99;6073.639246079998;439.931;230360;554;196914;7105144987;155;299725.8;62370;7673000;0.00301993;14.1195;59.123912337241116;2030940320.0;161.859;6.43;6.17;44957;4322974;469.8;0.140008
1365552000;232.99;290.0;19.9;162.0;16071.642744270002;440.925;230536;487;181858;7137152024;176;321186.21;68053;7673000;0.0022354;13.119000000000002;60.10749034172483;2186159900.0;169.045;6.88;6.04;20604;4343578;503.32;0.202579
1365638400;162.0;205.0;1.06;100.0;17016.121648310003;457.38199999999995;230727;439;166622;7168976921;191;266056.07;62938;7673000;0.00232286;19.2607;62.19371282880003;1818990510.75;178.828;5.7;5.47;16954;4360532;417.15;0.25335100000000005
1365724800;100.0;157.0;51.0;112.0;38693.95530431996;466.254;230887;539;217548;7203784549;160;180684.97;67987;7673000;0.00266428;19.3073;63.589312997018425;1241317348.5;192.12400000000002;3.87;3.43;21329;4381861;283.28;0.212687
1365811200;112.0;130.0;81.12;91.1;23877.17239757999;483.543;231060;494;161328;7231694367;173;153230.19;58649;7673000;0.00322003;19.9623;64.40665635173589;1056779760.0;198.183;3.27;3.43;26284;4408145;239.73;0.159442
1365897600;91.1;109.0;20.0;90.171;16441.847706960005;481.959;231227;511;144319;7255795574;167;160191.63;53293;7673000;0.00312545;18.6971;64.62461457966053;1108472530.75;199.178;3.41;3.99;30706;4438851;249.72;0.11633800000000001
1365984000;90.171;104.0;71.497;83.302;16421.27905634001;505.667;231380;562;179977;7283332115;153;148393.83;56825;7673000;0.00631965;19.6868;64.02522945286772;1030732645.0;195.47099999999998;3.14;3.46;31713;4470564;230.56;0.0774762
1366070400;83.302;84.48;0.01;67.58800000000001;26112.72354716001;510.63;231544;513;161085;7309750028;164;136511.43;53774;7673000;0.007063600000000001;15.0798;64.51563546569821;951637706.0;201.588;2.86;3.39;52187;4522751;210.41;0.0943836
1366156800;67.58800000000001;98.9;63.5;93.06299999999999;20016.467386729983;522.053;231721;484;178503;7341345101;177;106104.49;67440;7673000;0.00306669;12.319;64.57012502267936;742864291.75;201.517;2.22;2.07;31891;4554642;163.1;0.157558
1366243200;93.06299999999999;114.0;87.0;111.3;8364.204655090001;537.336;231892;505;164677;7369504841;171;139692.45;56660;8974296;0.00447621;9.28518;65.06056381588193;981773551.0;216.06900000000002;2.9;3.3;47673;4602315;213.32;0.16200499999999998
1366329600;110.0;142.0;104.56;119.0;20883.709079389995;523.182;232039;577;149028;7391411957;147;158263.01;49049;8974296;0.00074988;12.9021;65.71064285071392;1115595926.25;217.80200000000002;3.27;4.39;22857;4625172;241.2;0.5304
1366416000;119.02;132.0;114.9;127.0;6509.203738109997;496.921;232176;635;208284;7419946844;137;187962.89;57662;8974296;0.00305392;11.0665;65.01505096779637;1330065408.0;203.595;3.87;4.38;36930;4662102;285.29;0.16156199999999998
1366502400;127.01;130.0;110.0;117.618;11549.557824499994;494.31199999999995;232330;558;154309;7443710481;154;194017.35;47336;8974296;0.00418366;11.0439;65.72981777765632;1377305037.5;207.928;3.98;5.63;27300;4689402;293.7;0.09793210000000001
1366588800;117.618;127.3;117.618;126.5;7060.856517830002;500.279;232506;490;124137;7465558623;176;183753.09;44420;8974296;0.00331117;14.1723;68.60951307464032;1308268989.0;230.347;3.75;5.73;34128;4723530;276.96;0.09021839999999999
1366675200;127.389;144.47;124.859;143.484;11567.034512970007;516.471;232659;561;147409;7488112228;153;192808.9;47124;8974296;0.00282645;17.4212;69.42401788774433;1376890819.5;225.93900000000002;3.9;5.65;51046;4774576;288.38;0.1482
1366761600;143.484;166.99;140.9;154.6;25884.625254149996;524.039;232827;507;175061;7517522403;168;212201.88;61980;8974296;0.0038787;17.2668;70.48611847558486;1521332158.5;236.722;4.28;4.63;28743;4803319;316.73;0.143947
1366848000;155.0;169.13;120.03;141.9;21596.755281320016;520.809;232989;533;210217;7551577478;162;225961.9;65670;8974296;0.00287364;12.4109;69.91254246628986;1627320091.5;222.766;4.55;4.64;31413;4834732;336.6;0.197465
1366934400;142.89;143.985;13.0;137.3;13293.35461643;536.2230000000001;233161;500;173346;7581392953;172;219552.32;61379;8974296;0.00376927;12.4494;71.50580915877595;1587402702.0;228.66400000000002;4.4;4.88;34619;4869351;326.0;0.142573
1367020800;137.3;147.51;121.46;128.5;7774.990598120001;572.211;233332;507;158547;7608504491;171;204557.37;55572;8974296;0.00337636;14.3867;73.67265186055705;1484275536.0;242.797;4.08;5.08;39836;4909187;302.35;0.108752
1367107200;128.5;136.99;128.02;135.28;7223.12749254;574.122;233479;574;143831;7629647632;147;196058.56;43134;8974296;0.00511203;13.3106;73.22653718666096;1426561073.25;237.83599999999998;3.89;6.44;33666;4942853;288.61;0.067674
1367193600;135.28;148.5;113.42;144.0;9500.791824059996;553.712;233656;483;124094;7651612330;177;202504.81;42865;8974296;0.00546783;14.4709;73.29026785436041;1477707222.0;237.305;3.96;6.71;83307;5026160;294.0;0.055564199999999994
1367280000;144.0;146.6752;133.89;139.88;10998.392298150005;542.446;233830;488;151039;7677893143;174;204315.37;52096;8974296;0.00240391;15.6752;74.6286118760487;1496039972.5;243.338;3.96;5.49;46727;5072887;294.91;0.171508
1367366400;139.88;140.02;105.0;116.0;23879.787019450006;527.2180000000001;233979;582;177354;7704318847;149;208728.55;46724;10076293;0.00457653;15.5082;74.58377270863862;1533614460.75;234.375;4.04;6.33;25546;5098433;300.8;0.0886438
1367452800;116.0;127.18;90.414;106.56;29996.42493560001;521.6469999999999;234130;573;172717;7730399181;151;176723.46;56865;10076293;0.00368793;15.3762;75.06443047368154;1302855355.0;225.158;3.41;4.34;31547;5129980;253.97;0.121235
1367539200;106.56;108.21;80.0;98.06;32562.959571809977;513.062;234264;643;195308;7756570463;134;158868.58;54474;10076293;0.00502314;12.1452;73.69132168855121;1175189346.0;216.322;3.05;4.1;35208;5165188;227.52;0.07961510000000001
1367625600;98.06;115.959;93.35600000000001;112.5;15470.540318530017;490.276;234401;633;181476;7781432641;137;140489.34;51128;10076293;0.00563598;11.6612;72.5966129605048;1042564746.0;212.47099999999998;2.69;3.9;30479;5195667;200.66;0.071813
1367712000;112.5;126.0;100.0;116.57;13364.410708439986;498.788;234560;533;159006;7806714650;159;165402.38;50747;10076293;0.00939754;13.5036;74.60568244606469;1231431200.0;211.233;3.14;4.64;58779;5254446;234.36;0.0455914
1367798400;116.57;124.3;106.0;112.0;12268.50896875;510.892;234725;520;153430;7832030553;165;171597.54;50027;10076293;0.00702523;9.50693;75.13217067941022;1281697450.0;208.812;3.24;4.9;35880;5290326;242.27;0.0564327
1367884800;112.05;113.44;98.0;110.0;15060.449155370037;522.187;234891;520;160639;7858696558;166;171628.2;52951;10076293;0.00513882;9.358989999999999;75.92140737898227;1286291103.75;205.115;3.22;4.62;44735;5335061;241.11;0.0762221
1367971200;110.0;116.98;108.5;113.5;8804.37823946001;530.011;235059;510;173627;7887865836;168;159151.33;57522;10076293;0.00481181;9.64;77.28098017841738;1197208710.0;208.467;2.96;3.93;62303;5397364;221.82;0.0880076
1368057600;113.5;113.5;108.23;112.669;3999.007942050001;516.263;235224;521;156409;7913673324;165;166876.4;50618;10076293;0.00634702;11.9724;78.28277066221169;1259427390.0;218.657;3.07;4.75;67644;5465008;230.45;0.0745395
1368144000;112.669;122.5;111.4;117.87;7581.939586880006;537.893;235388;527;190137;7944855869;164;165900.57;67186;10076293;0.00932099;12.4796;80.4294645560566;1256996283.0;221.98;3.04;3.48;37723;5502731;228.43;0.0633271
1368230400;117.87;118.9;112.72;115.57600000000001;3842.267086809999;555.922;235560;497;190609;7977640664;172;172002.83;67681;10076293;0.00768249;12.5709;82.93394076554235;1308609720.0;230.674;3.13;3.59;56364;5559095;235.39;0.08048689999999999
1368316800;115.57600000000001;118.0;113.0;114.3;2749.882537939997;580.435;235742;470;191621;8012515613;182;168086.64;73592;10076293;0.0084291;15.5042;84.57973941749013;1284405573.0;239.625;3.06;3.22;30811;5589906;229.77;0.06126990000000001
1368403200;114.3;118.97;114.07;117.979;2594.5231254099976;594.714;235910;507;179963;8042749431;168;166151.71;64882;11187257;0.010292299999999999;17.5052;86.11984048660611;1274410780.0;242.497;3.01;3.66;41547;5631453;226.31;0.0488958
1368489600;117.979;119.85;105.2;111.551;9787.092823040006;616.789;236084;498;167824;8071950851;174;169700.56;60740;11187257;0.00514429;18.0044;88.06506071706761;1306356994.0;259.546;3.05;4.03;48512;5679965;229.99;0.100953
1368576000;111.551;117.0;103.45;108.94;9358.280315510006;635.615;236238;561;204249;8103405220;154;164668.43;67174;11187257;0.00746234;18.3612;88.27824927302716;1272559216.5;252.058;2.95;3.52;38245;5718210;222.55;0.06974019999999999
1368662400;108.94;115.2;108.2;115.0;4798.928981250001;665.924;236379;615;214905;8133706805;141;159704.54;62975;11187257;0.00811863;16.7974;87.67331003201157;1238813319.75;250.62099999999998;2.85;3.67;37595;5755805;215.23;0.0658441
1368748800;115.0;122.0;112.35;117.62;5110.450740700001;676.9839999999999;236527;586;201883;8163585468;148;165840.23;61300;11187257;0.0106496;19.0046;87.69604881601009;1291132820.5;241.80900000000003;2.94;3.94;60898;5816703;221.97;0.06510149999999999
1368835200;117.51;118.98;115.81001;118.52;2171.883057919999;679.564;236688;538;174933;8191749643;161;173806.25;59361;11187257;0.00643915;21.4645;88.17913308134298;1357819848.0;229.93200000000002;3.08;4.29;20239;5836942;232.63;0.07762899999999999
